Participant,Experiment,Stimulus,Saccade_Frequency,Avg_Saccade_Duration,Avg_Gaze_Deviation,Avg_Fixation_Deviation,Avg_Saccade_Deviation
1,19,15 devant - Copie.jpg,0.081081081081081,29.857999999978347,299.69998880120494,260.526365342495,364.6157780141307
30,19,15 devant - Copie.jpg,0.0206896551724137,59.62000000104309,187.62473776329338,187.84162712684508,177.43093767636483
39,19,15 devant - Copie.jpg,0.0137931034482758,19.87199999950826,86.3038497893695,85.86639417387724,117.3631984893185
32,19,15 devant - Copie.jpg,0.0588235294117647,34.8127499999282,401.13821641492626,391.84444965924575,423.96215864547236
3,19,15 devant - Copie.jpg,0.1904761904761904,39.74850000004517,77.45894263281824,67.07561076422274,136.29782322152604
40,19,15 devant - Copie.jpg,0.053030303030303,46.37333333368103,158.03600939923987,151.0324863993877,256.6601407203222
8,19,15 devant - Copie.jpg,0.0,0.0,0.0,0.0,0.0
34,19,15 devant - Copie.jpg,0.0492957746478873,27.850000000186263,127.60070426122641,124.40923583228144,188.23860441118046
31,19,15 devant - Copie.jpg,0.0482758620689655,27.896400000018183,97.86596921013025,94.06576775389595,172.2413405678583
36,19,15 devant - Copie.jpg,0.0444444444444444,29.81200000003446,206.9035847095597,206.9046384273136,211.0856074098954
52,6,15 devant point chat gauche.jpg,0.1063829787234042,46.61085714283296,121.33933703408827,118.51284396375144,136.20110157850095
17,6,15 devant point chat gauche.jpg,0.3823529411764705,70.23399999993671,389.2433770142039,268.84462970861347,309.17117384990394
23,6,15 devant point chat gauche.jpg,0.0342465753424657,24.87825000053272,164.85025733249643,164.09083873122302,185.96209444789764
47,6,15 devant point chat gauche.jpg,0.0476190476190476,33.12200000012914,128.96074259695976,126.27495127874106,182.1394106976895
21,6,15 devant point chat gauche.jpg,0.0,0.0,0.0,0.0,0.0
50,6,15 devant point chat gauche.jpg,0.0684931506849315,66.2976666664108,134.39522205058654,117.58867798901758,388.3607767587398
49,6,15 devant point chat gauche.jpg,0.1156462585034013,37.58266666666087,159.06477209914252,152.2414705378033,224.70995897398535
13,6,15 devant point chat gauche.jpg,0.0827586206896551,29.81449999974302,253.00002252489605,252.5737013613498,257.68955532390515
42,6,15 devant point chat gauche.jpg,0.6666666666666666,246.06350000005116,241.46945115666426,250.42896419398213,214.84229829634023
55,6,15 devant point chat gauche.jpg,0.6947368421052632,343.71750000002976,161.6134393326236,115.70737902282494,160.6114982054119
46,6,15 devant point chat gauche.jpg,0.0958904109589041,69.62324999994962,134.56131170028817,119.35203620503043,283.2459482229124
53,6,15 devant point chat gauche.jpg,0.0342465753424657,33.161666666623205,114.14971414834766,114.19474307434402,112.89791000564882
6,18,15 devant.jpg,0.1428571428571428,39.80649999995149,295.98424939398376,165.4754498686882,111.36354309488229
39,18,15 devant.jpg,0.0923076923076923,37.53862500004743,192.70635615938286,190.49501274078008,180.21565539592999
9,18,15 devant.jpg,0.4545454545454545,186.8333333333697,250.08661504952738,219.6896832364547,285.3470559526917
5,18,15 devant.jpg,0.3378378378378378,123.61299999999171,369.74854934084976,292.44950315329237,355.68208466525306
40,18,15 devant.jpg,0.0992907801418439,55.665199999885225,194.20559153674364,187.41274296089844,263.0105275717407
23,18,15 devant.jpg,0.673469387755102,218.8043333335469,494.9383910865442,666.4390482514543,391.45853750945736
10,18,15 devant.jpg,0.0547945205479452,31.823199999993086,317.92226411488093,323.36994751457127,210.52507709241348
32,18,15 devant.jpg,0.1031746031746031,62.66139999995503,225.2152040984098,220.60412437857187,264.9414293770137
13,22,15 devant.jpg,0.0833333333333333,29.814500000320557,179.77868590372523,160.28356196668287,204.44228055088752
34,18,15 devant.jpg,0.1506849315068493,156.12499999999514,167.25609717688215,158.8250109536038,214.0103025968803
36,18,15 devant.jpg,0.1240310077519379,45.44285714287045,439.7228771674604,420.47420697366255,423.7851901266505
52,22,15 devant.jpg,0.047945205479452,34.813249999977415,209.48699381501888,206.3414209077043,271.49971684493414
37,18,15 devant.jpg,0.1301369863013698,51.502250000075946,136.9450282673471,134.3452399735562,162.60480446778325
33,18,15 devant.jpg,0.0410958904109589,29.80950000009034,193.96338802642023,192.87546128491212,218.9857030811069
17,22,15 devant.jpg,0.0,0.0,0.0,0.0,0.0
49,22,15 devant.jpg,0.1985294117647058,87.75799999997773,185.2440716497685,182.45947880270822,170.92728305922952
15,22,15 devant.jpg,0.0,0.0,0.0,0.0,0.0
18,22,15 devant.jpg,0.5135135135135135,249.77249999996275,321.1254360840074,175.59538509725564,272.9205529162399
11,18,15 devant.jpg,0.0,0.0,0.0,0.0,0.0
43,22,15 devant.jpg,0.1287878787878787,38.30419999994338,186.62280715711125,180.85665696884556,200.12164125201133
3,18,15 devant.jpg,0.1836734693877551,59.664166666648576,243.83817658234648,255.82158842112403,186.06531003244865
2,18,15 devant.jpg,0.0,0.0,0.0,0.0,0.0
14,22,15 devant.jpg,0.1264367816091954,87.35566666664333,163.08285207885032,142.38064642957673,144.4470155681646
1,18,15 devant.jpg,0.1739130434782608,39.7519999998658,169.27043469125832,163.05498481177307,221.646992226731
4,18,15 devant.jpg,0.1587301587301587,49.74299999978575,563.575709560675,508.21347086083426,422.0953879558318
42,22,15 devant.jpg,0.0689655172413793,79.38800000011058,276.9568274784912,280.6853791138508,226.99423556467383
30,18,15 devant.jpg,0.0758620689655172,43.74859999995533,273.8897041597998,270.9361954887695,309.6003090004387
48,22,15 devant.jpg,0.032,39.87399999999616,161.0168914646274,162.00422697185866,131.396826247688
31,18,15 devant.jpg,0.0753424657534246,29.778750000027685,217.38740809758988,212.82593791896412,272.95440845539497
